a,b,stratum,identity,cosine,same_family
P96686,Q09PK2,random,0.1268,0.7902,False
P05626,P40938,random,0.1713,0.9005,False
P57691,Q9HBM1,random,0.155,0.894,False
O55233,Q6DHG8,random,0.1767,0.9258,False
P23524,Q9Y5J3,random,0.1845,0.7996,False
Q6NWH0,Q8GY11,random,0.1165,0.9381,False
Q9D4J7,Q9M1Y1,random,0.1486,0.8822,False
P12114,P37773,random,0.1649,0.7878,False
F4KBM7,P62979,random,0.0943,0.8621,False
P64616,Q14093,random,0.046,0.7795,False
E9Q137,Q6UX53,random,0.1723,0.8854,False
O74302,P0ADL1,random,0.1419,0.7294,False
O45551,Q20010,random,0.1337,0.9343,False
P61851,Q9SJW3,random,0.1534,0.8231,False
P21365,Q7TPD2,random,0.151,0.8556,False
Q14BK3,Q3UFJ6,random,0.0962,0.9128,False
O06986,Q921W0,random,0.1644,0.8349,False
Q12024,Q5FWF7,random,0.115,0.8744,False
Q8W595,Q9KWZ1,random,0.1437,0.9219,False
O34872,Q6NYV5,random,0.125,0.9281,False
Q91WE1,Q9SAB4,random,0.1629,0.8646,False
Q503I9,Q94JX5,random,0.1174,0.8636,False
Q8LEB2,Q9SU44,random,0.1448,0.8319,False
Q2TJ95,Q9IBD1,random,0.1429,0.7537,False
P75788,Q9ZVH5,random,0.1787,0.827,False
Q8IZ57,Q9LHG8,random,0.1275,0.9539,False
P0C8K0,Q9D7J4,random,0.0892,0.9377,False
O07006,Q9C6Z0,random,0.1055,0.8817,False
Q9CZD0,Q9ZVC2,random,0.1364,0.9092,False
P0DKJ6,Q1LVP6,random,0.1451,0.8282,False
P0DKG6,Q12449,random,0.1472,0.8693,False
P35247,P36093,random,0.1739,0.801,False
Q4KMG9,Q9CQT7,random,0.1726,0.8205,False
Q922M7,Q9Y3A4,random,0.1329,0.9431,False
P37263,Q9I8V0,random,0.1726,0.8779,False
P24867,Q9D1Q1,random,0.1398,0.9126,False
Q969E2,Q9D772,random,0.1245,0.9322,False
P15364,Q9M001,random,0.1749,0.8179,False
P31755,Q9SIE7,random,0.1037,0.8671,False
P26899,Q94L32,random,0.1693,0.9297,False
P17047,Q9D8V7,random,0.1108,0.8687,False
P97391,Q9UIA0,random,0.1066,0.9075,False
Q6PGK7,Q9DAA7,random,0.1092,0.8417,False
P10566,Q0VD86,random,0.1368,0.69,False
Q9UQK1,Q9VG08,random,0.1667,0.9065,False
Q38933,Q8N8Q9,random,0.1683,0.8818,False
O95416,Q93VK9,random,0.1933,0.9189,False
P37648,Q9W2C3,random,0.1605,0.8667,False
O04350,P24257,random,0.0757,0.906,False
P43630,Q9BXR0,random,0.165,0.7744,False
Q09665,Q7LG56,random,0.119,0.646,False
P50845,Q80VP8,random,0.176,0.8083,False
P05161,Q9Y3E0,random,0.1543,0.8204,False
L0R8F8,Q400G9,random,0.0683,0.9196,False
O93430,Q9SIE7,random,0.1059,0.8132,False
P47158,Q9DCX8,random,0.1153,0.928,False
Q3TEW6,Q9JHP7,random,0.1451,0.8387,False
F4IN23,Q9SY09,random,0.081,0.8549,False
O16327,P61769,random,0.1636,0.7852,False
P07991,Q91VU0,random,0.151,0.7858,False
Q8GUJ1,Q8RWM6,random,0.1292,0.7811,False
P37548,Q9UBW8,random,0.1667,0.9214,False
P39548,Q64281,random,0.1538,0.8438,False
Q07750,Q8CAE2,random,0.1238,0.9429,False
P42766,Q6DHJ6,random,0.1694,0.903,False
Q45594,Q9VJV8,random,0.1576,0.9069,False
O45551,Q9VET0,random,0.1179,0.9303,False
P81909,Q14BQ3,random,0.13,0.8635,False
P96581,Q93ZG7,random,0.1265,0.8813,False
P02749,Q5VWZ2,random,0.1589,0.8257,False
P14436,Q96S97,random,0.1246,0.8738,False
P0CX74,Q9GZV7,random,0.1236,0.8008,False
Q6NY34,Q8CHX7,random,0.1146,0.9628,False
Q0P4A7,Q3SX64,random,0.1535,0.8906,False
Q9SU38,Q9XW71,random,0.129,0.7754,False
Q8BYL4,Q9BXI6,random,0.1806,0.899,False
P39764,Q9SYY4,random,0.1261,0.7869,False
P03985,Q3ECT8,random,0.1412,0.8685,False
P06746,Q96MX6,random,0.1714,0.833,False
O17933,P37329,random,0.1635,0.6511,False
Q09473,Q38945,random,0.134,0.8666,False
Q3V384,Q93V51,random,0.131,0.8693,False
P76219,Q8K558,random,0.1627,0.734,False
Q39236,Q8VD63,random,0.0876,0.948,False
P20228,Q9NES8,random,0.1579,0.8802,False
O82391,P54157,random,0.1308,0.8881,False
P14065,Q9W4Z4,random,0.0799,0.8211,False
P48578,Q9LXU0,random,0.0671,0.7702,False
Q04323,Q84X53,random,0.1848,0.8763,False
O49404,Q96TC7,random,0.1461,0.9146,False
P0ADP7,Q9LN20,random,0.1689,0.7681,False
Q8BFT2,Q8WR51,random,0.1663,0.8787,False
O96011,Q9BVA6,random,0.1612,0.9278,False
Q8RYC6,Q9BXL8,random,0.1719,0.8719,False
P42417,P42772,random,0.0936,0.7496,False
O06478,Q9FW03,random,0.1778,0.8737,False
O31935,Q6RSH7,random,0.0769,0.9198,False
P16871,Q8LDL0,random,0.122,0.921,False
Q9FNY0,Q9QUK3,random,0.1431,0.903,False
B3H754,Q9SLG8,random,0.1484,0.926,False
A8WG21,Q5EE01,random,0.1529,0.9519,False
A3KNX5,Q5HYJ1,random,0.1671,0.882,False
Q5TYS0,Q96FE7,random,0.1493,0.8541,False
Q01085,Q9D0K0,random,0.1403,0.8021,False
P25864,Q9NYY1,random,0.1836,0.8875,False
Q8CJI4,Q8NCT1,random,0.1641,0.7992,False
Q94522,Q9DAX2,random,0.1331,0.8447,False
P50395,Q8W246,random,0.1485,0.8413,False
P34276,Q9LRP7,random,0.0954,0.9434,False
P00926,Q9C6K5,random,0.0679,0.7507,False
Q94A52,Q9LTE1,random,0.0882,0.8786,False
Q8L7H1,Q93YV6,random,0.1797,0.8291,False
A0A3B3IRV3,Q20411,random,0.1173,0.92,False
A0A1W2PR82,Q93246,random,0.1476,0.8275,False
Q13239,Q64G17,random,0.1377,0.8518,False
O14662,Q9H6V9,random,0.1602,0.8737,False
Q62522,Q8IWL3,random,0.1508,0.8503,False
P07868,Q503H1,random,0.117,0.8173,False
P17445,P39629,random,0.1265,0.8676,False
O62136,P24369,random,0.1281,0.9447,False
Q10981,Q9D6K5,random,0.1137,0.8963,False
Q9LRS0,Q9Z222,random,0.1636,0.8522,False
P50458,Q8CFE6,random,0.1502,0.8849,False
P64590,Q4AE62,random,0.0651,0.7864,False
O65693,P49640,random,0.1265,0.8719,False
C9J7I0,Q99ML1,random,0.155,0.8787,False
O13525,Q8RXS1,random,0.1527,0.951,False
O65041,Q9CQC4,random,0.0969,0.8949,False
P37518,Q8K3A0,random,0.1613,0.8704,False
F4I8R6,Q39263,random,0.1754,0.9421,False
F4I4E1,O48773,random,0.0955,0.8538,False
A2RT62,Q9SI57,random,0.0898,0.8816,False
O34403,O48677,random,0.155,0.7898,False
O88978,Q969S6,random,0.0949,0.8685,False
A1L157,P39451,random,0.1457,0.747,False
P56784,Q3TVP5,random,0.1625,0.9572,False
P13747,Q5SPP0,random,0.1727,0.8917,False
P0AAH8,Q9SRP4,random,0.1324,0.8324,False
Q12342,Q9Y3V2,random,0.1316,0.9529,False
Q562D6,Q95PJ8,random,0.106,0.9187,False
A0A0K0K1A3,Q922Q5,random,0.0813,0.7122,False
Q9LTJ6,Q9Y5C1,random,0.1599,0.8445,False
O34479,Q96M95,random,0.1469,0.8267,False
P49787,Q8LDU1,random,0.1518,0.9201,False
Q08223,Q504A5,random,0.1425,0.8723,False
P96723,Q19766,random,0.1289,0.8609,False
P46734,Q9V3N8,random,0.1493,0.8595,False
O31801,P0A8G3,random,0.0872,0.949,False
P47114,Q94A65,random,0.1186,0.9026,False
O81312,Q9D1L9,random,0.0741,0.8656,False
P31001,Q8R189,random,0.1146,0.8686,False
P17329,Q9DAG5,random,0.1514,0.8806,False
Q9BYR3,Q9NUE0,random,0.1114,0.4648,False
Q6DFX2,Q9MBH2,random,0.0924,0.8961,False
O70273,P27829,random,0.1485,0.8821,False
A5Z2X3,P0A8M6,random,0.0945,0.9027,False
O31414,P54175,random,0.1221,0.728,False
P14060,Q6NS38,random,0.1792,0.8592,False
P75959,Q9SA34,random,0.1534,0.8493,False
O45933,Q9SYF5,random,0.1476,0.8418,False
Q2V4E2,Q925S4,random,0.1171,0.922,False
P53860,Q04658,random,0.1842,0.9379,False
Q8BV66,Q8BYB9,random,0.1685,0.9116,False
Q08C93,Q5XLR4,random,0.1714,0.8884,False
Q0VB26,Q9Y536,random,0.1338,0.9415,False
O82488,P35127,random,0.1295,0.8515,False
P25444,P40096,random,0.1327,0.9607,False
P67553,Q8CCF0,random,0.1173,0.9062,False
P39706,Q9SIN5,random,0.0892,0.808,False
P19366,Q78WZ7,random,0.1535,0.9136,False
Q8BH50,Q8K5B2,random,0.1452,0.8993,False
Q94131,Q99MW3,random,0.1515,0.8636,False
P30793,P62191,random,0.1435,0.9344,False
P00796,Q7T3E6,random,0.1638,0.8543,False
Q8N999,Q9LNH6,random,0.1818,0.2951,False
P31358,Q9XWU2,random,0.1359,0.8955,False
P00417,Q8IYJ0,random,0.145,0.7806,False
Q9LFW1,Q9UF11,random,0.1551,0.8879,False
P39282,Q9WU63,random,0.1024,0.8702,False
Q8LCU7,Q94CL8,random,0.1648,0.8893,False
Q99NA2,Q9FZJ1,random,0.1864,0.8901,False
P16562,Q9ZV52,random,0.1451,0.8407,False
P59226,Q8BPW0,random,0.1667,0.9088,False
D3YZG8,P42798,random,0.1265,0.8638,False
Q969D9,Q9NQM4,random,0.137,0.9066,False
Q32PP1,Q9LRQ7,random,0.1356,0.8676,False
H2KYQ5,Q7RTT6,random,0.1088,0.9065,False
O34558,Q9FKW2,random,0.1501,0.8461,False
O31562,Q6DBM8,random,0.128,0.8051,False
P00890,Q9ZVF3,random,0.0958,0.9109,False
P38242,Q9SA73,random,0.1397,0.9135,False
P0AFW0,P36955,random,0.1146,0.8675,False
P36131,Q8R2N1,random,0.142,0.9166,False
P50845,Q564X7,random,0.1508,0.7952,False
O32090,Q9JIB4,random,0.1645,0.9037,False
P04925,Q02747,random,0.1176,0.8641,False
A6NDG6,Q9HD47,random,0.1776,0.7277,False
P0AAH8,Q2WEN9,random,0.1551,0.786,False
F4KI56,Q6DH13,random,0.1597,0.8605,False
P10523,P96696,random,0.1274,0.8882,False
C0SUW7,Q9SX52,random,0.1695,0.8451,False
Q8N5B7,Q9S825,random,0.1545,0.8264,False
P38726,Q84X07,random,0.1447,0.8886,False
P50709,Q06828,random,0.0878,0.8756,False
Q00056,Q96MC5,random,0.1455,0.8799,False
Q7ZVJ6,Q9FH97,random,0.1777,0.9078,False
P0DP01,P43080,random,0.1393,0.7516,False
Q1LXI5,Q9CQR7,random,0.1373,0.9196,False
Q14088,Q6ZM28,random,0.1625,0.879,False
Q7T347,Q9MIY7,random,0.1318,0.8056,False
Q3E7T8,Q5U3V7,random,0.1671,0.1203,False
E9PXB6,Q09528,random,0.0587,0.927,False
Q640P4,Q6GMG6,random,0.1489,0.927,False
O70333,Q9VJV8,random,0.1108,0.9231,False
Q08223,Q14DQ1,random,0.1342,0.923,False
P49596,Q9VPH7,random,0.1594,0.8575,False
O70333,P59270,random,0.1061,0.9081,False
F4K6R7,Q20781,random,0.1186,0.8546,False
Q9SP35,Q9UBM1,random,0.1245,0.8296,False
O82274,Q9FK04,random,0.1543,0.9337,False
Q8C522,Q9D4B1,random,0.1467,0.8921,False
B3H5L1,Q8WZ73,random,0.126,0.9016,False
P94438,Q7T291,random,0.1706,0.9089,False
P50549,Q9NPB3,random,0.1211,0.8924,False
P40219,P56213,random,0.135,0.9448,False
P49201,Q8CJ70,random,0.1319,0.8999,False
Q6P2D0,Q8C7V8,random,0.1436,0.8075,False
P07870,Q8BGQ6,random,0.1284,0.8792,False
Q5SXH7,Q8VXY9,random,0.1726,0.8572,False
P0A8J4,Q95029,random,0.08,0.8608,False
P0A867,Q62425,random,0.0886,0.9315,False
O80854,Q8WW22,random,0.1559,0.8579,False
A6NI72,X6R8R1,random,0.1793,0.863,False
P0C0V2,P75830,random,0.08,0.5745,False
A0A411D538,Q9Z121,random,0.2121,0.8317,False
A2BIJ3,P32727,random,0.1696,0.8251,False
O00470,Q96PM5,random,0.15,0.8878,False
P55075,Q91YD9,random,0.1245,0.8611,False
P06899,P0A7V3,random,0.1532,0.933,False
O07938,P43353,random,0.0769,0.704,False
Q8VWI1,Q9LME4,random,0.125,0.7409,False
Q20201,Q9JKP5,random,0.1396,0.9443,False
P47177,Q5F285,random,0.1,0.8192,False
O05228,Q84W04,random,0.1314,0.8479,False
P32695,Q99547,random,0.1188,0.7878,False
P25372,Q5F2N3,random,0.0848,0.7988,False
Q60932,Q8CF31,random,0.0777,0.8571,False
G5EEI4,Q810H5,random,0.0909,0.7946,False
Q9CQK1,Q9FNK0,random,0.0994,0.8645,False
Q6TLF6,Q9D1Z3,random,0.1767,0.7872,False
P54521,Q15653,random,0.1444,0.6549,False
Q9SKN7,Q9VYX7,random,0.1208,0.8334,False
Q6DGT7,Q9R0N3,random,0.1375,0.9051,False
Q69YL0,Q8R1F9,random,0.0882,0.8768,False
O95997,P60624,random,0.1281,0.8056,False
A0A075B6L6,Q6ZNW5,random,0.1028,0.7785,False
P04807,P0A8S9,random,0.0926,0.926,False
Q84WV9,Q9UNK0,random,0.1506,0.8368,False
O46098,Q943Z6,random,0.1027,0.9517,False
F4I5N6,O34634,random,0.1441,0.731,False
P05627,P68254,random,0.1487,0.8894,False
O31963,Q8NG06,random,0.1535,0.7269,False
P71086,Q9DBS2,random,0.1391,0.7622,False
P40070,Q8R2R9,random,0.1196,0.864,False
Q14654,Q9FVC1,random,0.1392,0.8758,False
Q86UD7,Q9C835,random,0.1392,0.9109,False
P0A9N4,Q0VA82,random,0.1131,0.8022,False
Q03219,Q9D915,random,0.1055,0.8922,False
Q52LG2,Q8NFX7,random,0.1324,0.7313,False
P56880,Q8W453,random,0.1448,0.8183,False
P27250,Q8VWI1,random,0.1257,0.7534,False
O34449,Q68EL6,random,0.1221,0.8934,False
Q9C5H6,Q9JI59,random,0.1436,0.8435,False
A6NMX2,P29594,random,0.141,0.8898,False
Q9BZI1,Q9NP08,random,0.1687,0.9443,False
G5EC36,Q68EK2,random,0.1735,0.8343,False
P37263,Q8BGA9,random,0.0899,0.87,False
Q9H910,Q9M391,random,0.1394,0.8801,False
P70172,Q9H2X8,random,0.1207,0.8549,False
P12875,Q9H1R2,random,0.1119,0.8214,False
O70333,P35557,random,0.0688,0.9094,False
P92208,Q9C8C1,random,0.1413,0.8341,False
P01635,P53588,random,0.0874,0.7334,False
P0A9D8,Q61114,random,0.1308,0.9143,False
O31934,Q969Q1,random,0.1045,0.8539,False
Q47706,Q92901,random,0.1587,0.8934,False
Q568B7,Q9LND0,random,0.1653,0.9295,False
Q47157,Q9ULY5,random,0.1233,0.8151,False
O31575,P24298,random,0.1365,0.8249,False
P78386,Q8C7G5,random,0.1567,0.8691,False
P18532,Q9D9I1,random,0.1399,0.7184,False
P75954,Q9H478,random,0.0906,0.7647,False
Q8VYI5,Q9LTS6,random,0.1597,0.7365,False
Q96GU1,Q9SGA6,random,0.1509,0.9134,False
Q6UW88,Q8IZM0,random,0.1104,0.7859,False
P97438,Q9SUA9,random,0.1366,0.911,False
A2VCK2,Q16656,random,0.141,0.9068,False
O60220,Q99LT0,random,0.1754,0.9067,False
P0C079,Q99LS1,random,0.0709,0.8315,False
O49320,Q9FIC9,random,0.1176,0.896,False
P10720,Q9VG95,random,0.1284,0.7462,False
O60496,P38428,random,0.1579,0.8648,False
P26017,P51427,random,0.1591,0.8897,False
P49183,P67080,random,0.1331,0.8187,False
P0A8D0,Q9STY5,random,0.1366,0.8801,False
O55203,Q5XJN6,random,0.1493,0.9359,False
O31611,Q99MB7,random,0.168,0.962,False
P53124,Q9UPY6,random,0.1345,0.9332,False
O82533,P38356,random,0.1437,0.9049,False
Q06429,Q9C5M1,random,0.1296,0.911,False
Q7Z4L0,Q8BGA7,random,0.0781,0.9151,False
P49678,Q61398,random,0.1194,0.8778,False
Q9CWE0,Q9JM54,random,0.1246,0.9367,False
A0A0J9YVY3,Q9FX54,random,0.1095,0.6844,False
P22392,P37596,random,0.1135,0.7868,False
Q91YT0,Q9SUB4,random,0.1379,0.8536,False
Q9HB03,Q9JKK7,random,0.1699,0.7698,False
O88890,P49840,random,0.0849,0.8845,False
Q5TA89,Q62522,random,0.1286,0.9014,False
Q19951,Q9FMI7,random,0.168,0.9033,False
P25550,P37651,random,0.1663,0.8594,False
P25443,Q9UBM1,random,0.1839,0.8957,False
P37749,Q9LHP2,random,0.1118,0.6788,False
Q9D868,Q9S7R4,random,0.1258,0.8282,False
P64646,Q32PR0,random,0.0852,0.9076,False
Q9SMM8,Q9VHI7,random,0.1489,0.8626,False
P0AAX8,P33230,random,0.0752,0.8667,False
P0A7A5,Q8N7C4,random,0.1347,0.6581,False
Q9FME2,Q9H8X9,random,0.1555,0.8601,False
P24232,Q8JHJ1,random,0.0884,0.8604,False
Q06546,Q1PED2,random,0.1075,0.9351,False
Q09637,Q9NV29,random,0.1093,0.9366,False
Q8C4Q6,Q9BRV8,random,0.1323,0.954,False
Q8VHH8,Q9NQ33,random,0.1623,0.8451,False
A6H6T1,P36188,random,0.1421,0.7891,False
Q9SKN6,Q9VWF4,random,0.1751,0.9667,False
Q96D98,Q9FFD0,random,0.1083,0.855,False
P0A879,Q503L9,random,0.1598,0.9146,False
Q8VY52,Q9C540,random,0.1597,0.8582,False
P0AFV8,P38089,random,0.0585,0.8098,False
P25454,Q9SAZ5,random,0.1241,0.922,False
P55872,Q7TNU7,random,0.1021,0.9281,False
P39738,Q9CZ00,random,0.092,0.71,False
P97334,Q99K70,random,0.159,0.9103,False
P16451,Q9M9R9,random,0.0683,0.9221,False
P71003,Q9VXA8,random,0.1694,0.9013,False
Q8NBI6,Q9SPE6,random,0.139,0.8735,False
P94525,Q4PNJ2,random,0.1429,0.8911,False
Q8IZS7,Q9Y603,random,0.0959,0.9009,False
Q8K0D7,Q9Y6F9,random,0.1233,0.9007,False
A8K0Z3,O31822,random,0.1255,0.8485,False
A0A1W2P7I0,Q9D7G9,random,0.076,0.8318,False
O45201,Q02363,random,0.1289,0.9242,False
Q8N4L2,Q8TDN6,random,0.1622,0.2703,False
A0A0J9YVY3,O76009,random,0.0743,0.6595,False
P67775,P91910,random,0.1565,0.8847,False
P42924,P76197,random,0.059,0.7276,False
B3H587,O75792,random,0.1013,0.7905,False
P07012,Q13015,random,0.0795,0.908,False
P53722,Q6PCB6,random,0.142,0.8327,False
F4K8S5,Q9UQK1,random,0.1432,0.9076,False
P0AFP9,Q8N5C1,random,0.1683,0.777,False
P10630,P48307,random,0.1205,0.8627,False
A0A1B0GVG6,Q6IFX3,random,0.0866,0.8458,False
O23305,O89086,random,0.1008,0.685,False
P45425,Q9M1J1,random,0.1433,0.8237,False
Q503Z8,Q9NVV9,random,0.1187,0.9113,False
P39429,Q12096,random,0.1534,0.8582,False
Q8C7B6,Q9VLP3,random,0.1271,0.8707,False
Q6UYE1,Q9CYY7,random,0.1446,0.8475,False
P0AFS5,Q9D0B8,random,0.1626,0.7524,False
O43766,Q9Y287,random,0.1478,0.9351,False
Q8C767,Q9CQ24,random,0.1493,0.9324,False
P04430,Q8BHH1,random,0.0996,0.7636,False
Q94F58,Q9LXC9,random,0.1865,0.968,False
O43286,Q9MA98,random,0.1429,0.866,False
P0AEK0,Q9CTH6,random,0.1308,0.9431,False
Q8CGR5,Q9JKL5,random,0.1254,0.6986,False
O34906,Q12206,random,0.1343,0.6843,False
P27705,P37810,random,0.131,0.8873,False
A0A0J9YVY3,Q32MW3,random,0.0998,0.7378,False
Q56YW9,Q8GXV2,random,0.0947,0.9156,False
P0ACI6,Q640P4,random,0.1089,0.8023,False
P39146,Q69YL0,random,0.0792,0.901,False
O34336,Q9C0J9,random,0.1586,0.785,False
Q96R08,Q9VL00,random,0.1595,0.4026,False
Q80ZM8,Q8N5Z0,random,0.182,0.8008,False
C0HKC8,Q9D0B8,random,0.1431,0.8575,False
P06610,Q9FPR6,random,0.1574,0.8321,False
Q3E9F5,Q93VB2,random,0.1564,0.9387,False
O82628,Q9CR51,nn,0.3667,0.9822,True
Q400G9,Q5VUD6,nn,0.1943,0.9764,False
P37348,P42416,nn,0.1864,0.9411,False
O60496,Q8R0L1,nn,0.1991,0.9598,False
Q9NUE0,Q9UIJ5,nn,0.1936,0.9777,True
Q9LNT9,Q9M1X5,nn,0.5939,0.9908,True
Q717B4,Q9M8J9,nn,0.271,0.9866,True
O60870,Q06668,nn,0.1627,0.9658,False
Q2V2W7,Q3E6U0,nn,0.2637,0.9807,True
Q3E7A4,Q6DHJ6,nn,0.1892,0.9731,True
Q9UDX3,Q9Z275,nn,0.1603,0.9816,False
O75638,Q6UYE1,nn,0.2088,0.9625,False
P0A9Q9,P39954,nn,0.1574,0.9706,False
P06753,Q60779,nn,0.1867,0.9581,False
P0A7D7,P12046,nn,0.4191,0.9836,True
Q9CQX8,Q9LKA1,nn,0.1276,0.972,False
P17260,P36027,nn,0.1772,0.9451,False
Q9WV35,Q9Y235,nn,0.9062,0.9988,True
O08540,O62247,nn,0.1379,0.9762,False
Q64732,Q9DE24,nn,0.2725,0.9726,False
O80842,Q22111,nn,0.1687,0.9372,False
P02407,P49205,nn,0.5172,0.9848,True
Q9S7W1,Q9XF91,nn,0.2012,0.9519,False
O81275,Q9CA51,nn,0.1123,0.9665,False
P27005,Q8LEM7,nn,0.1195,0.978,False
Q6NMD6,Q8RYC6,nn,0.1082,0.9636,False
G5EFF7,Q9SAR5,nn,0.1696,0.9247,False
Q6DHJ1,Q6UWZ7,nn,0.1443,0.9838,False
A0A1B0GST9,Q4LDR2,nn,0.2346,0.9806,False
O48677,Q96519,nn,0.3681,0.9928,True
Q4FE47,Q9FPH0,nn,0.5419,0.9869,False
P62322,Q9LMN4,nn,0.2626,0.9414,True
Q84L09,Q9LU76,nn,0.1857,0.9838,False
O76014,P78386,nn,0.249,0.9725,True
Q3E8A8,Q8GWJ6,nn,0.1322,0.9671,False
F4JJL0,Q9C9G4,nn,0.5099,0.9887,True
Q61806,Q96Q35,nn,0.1566,0.9866,False
O23164,P38353,nn,0.1145,0.9791,False
P0ABU0,Q8GYN9,nn,0.5592,0.9667,True
F4J4A0,Q9M2J6,nn,0.5601,0.9877,False
P02776,P10889,nn,0.4095,0.9846,True
O00338,Q9C9D0,nn,0.2616,0.9845,True
A6ND01,P15328,nn,0.5379,0.9899,True
P38353,P53633,nn,0.1077,0.9758,False
A6NCL7,P20749,nn,0.2036,0.96,False
Q15126,Q8GY88,nn,0.15,0.9721,False
Q12239,Q8LF05,nn,0.2155,0.9743,False
Q64221,Q9QYC3,nn,0.1905,0.9643,False
A2A6M5,Q86X53,nn,0.1838,0.9138,False
P34429,P38629,nn,0.4118,0.9706,True
P35813,P39966,nn,0.2389,0.9729,True
P01795,P03980,nn,0.3542,0.9885,False
P00399,P18777,nn,0.1609,0.9766,False
Q41951,Q41963,nn,0.6087,0.9914,True
Q6ZMR5,Q8K1T0,nn,0.2926,0.9748,True
Q503M4,Q6NT16,nn,0.1827,0.9594,True
Q12442,Q9SVF3,nn,0.2804,0.9848,True
A5PLG0,P02407,nn,0.1197,0.9852,False
Q6ICH7,Q80VP9,nn,0.878,0.9977,True
Q38894,Q9FXJ1,nn,0.624,0.9956,True
Q8GSJ1,Q9SGD6,nn,0.1667,0.9632,False
P52793,Q17R55,nn,0.1378,0.9786,False
O43556,Q60571,nn,0.1513,0.9731,False
Q8S8D8,Q8TDP1,nn,0.1408,0.9752,False
Q92643,Q9LJX8,nn,0.2111,0.9841,True
Q5EE01,Q7ZWJ4,nn,0.1525,0.9824,False
Q5GJ75,Q9CZS3,nn,0.1361,0.9892,False
P0C1Z6,Q9D9K3,nn,0.1978,0.975,False
Q8IUS5,Q9D379,nn,0.1716,0.9297,False
A2CEM9,Q9D845,nn,0.1337,0.9789,False
Q9LRL4,Q9SVI0,nn,0.4562,0.9905,True
Q24536,Q9SRX1,nn,0.1581,0.9915,False
A8MR65,Q8S4Q6,nn,0.3272,0.9701,True
Q20201,Q21305,nn,0.3547,0.9718,False
O34873,P32451,nn,0.1654,0.933,False
Q8IRL8,Q9W497,nn,0.1703,0.9888,True
A2A9I7,Q92826,nn,0.1738,0.9671,False
P16256,P76037,nn,0.1973,0.9734,False
P02776,P10720,nn,0.8462,0.9914,True
Q68EI0,Q9P2S5,nn,0.1747,0.9836,False
A6H8Z2,Q8C627,nn,0.4712,0.9822,True
P06132,P32347,nn,0.4987,0.9634,True
Q96S90,Q99PT3,nn,0.1766,0.9787,False
P0AAN9,P31061,nn,0.1376,0.9744,False
Q6PC45,Q95XD3,nn,0.1694,0.9832,False
P30419,Q94L32,nn,0.3598,0.983,True
Q794W0,Q9C835,nn,0.1282,0.9702,False
O54915,Q91392,nn,0.222,0.9905,True
P61163,Q641P0,nn,0.342,0.9864,True
C9JJ37,Q969K4,nn,0.1846,0.9619,False
O05231,P30014,nn,0.2085,0.9546,False
Q9UJA5,Q9WV35,nn,0.1082,0.9734,False
P32347,Q9M1W4,nn,0.1641,0.9501,False
P22794,Q9R0H2,nn,0.171,0.9669,False
Q6NXT2,Q9FX60,nn,0.875,0.9974,True
P49435,Q9SU38,nn,0.3646,0.9452,True
P47212,Q9UBC7,nn,0.3333,0.9882,True
Q93170,Q9H4B0,nn,0.3096,0.9791,True
Q8GXU5,Q9SUC3,nn,0.3326,0.986,True
O16207,Q96MC5,nn,0.192,0.9835,False
Q5FC79,Q9VLM7,nn,0.1404,0.9887,False
C0SVG5,O04192,nn,0.1525,0.9845,False
P29703,P43551,nn,0.1561,0.945,False
P01040,P56628,nn,0.1838,0.9809,False
Q60738,Q6DBM8,nn,0.1784,0.9593,True
Q04199,Q9SJW6,nn,0.1759,0.983,False
O60810,Q5VWM6,nn,0.4739,0.9932,True
P96593,Q45068,nn,0.1703,0.9708,False
Q0WQG8,Q5MK23,nn,0.1338,0.9813,False
P34429,Q9D0F6,nn,0.4647,0.9825,True
F4I8K2,Q12239,nn,0.1611,0.9734,False
G5EDE5,O55183,nn,0.1349,0.9835,False
P79724,Q1ECY2,nn,0.6078,0.9943,True
P25616,Q9C8J4,nn,0.1712,0.9738,False
Q99JT5,Q9NWH7,nn,0.1466,0.9761,False
Q0VAA2,Q8WWH4,nn,0.1837,0.9635,False
A1L157,O60637,nn,0.2331,0.9763,True
Q99N92,Q9P0M9,nn,0.8311,0.9956,True
Q94252,Q9D379,nn,0.1704,0.9395,False
B3H5L1,Q9LSQ1,nn,0.2286,0.9833,True
P56857,Q925N4,nn,0.223,0.9728,True
Q3UNZ8,Q8LCU7,nn,0.1995,0.9278,True
A0A0U1RRN3,O70337,nn,0.0987,0.9836,False
Q06688,Q7T297,nn,0.1769,0.9764,False
P22692,Q16270,nn,0.2247,0.9653,False
O23207,P38234,nn,0.2526,0.9597,True
O01323,Q91WE4,nn,0.2941,0.9615,True
Q95XD3,Q9SCP9,nn,0.1498,0.9821,False
A2A9I7,Q9D7G9,nn,0.1834,0.9753,False
Q7X6T3,Q8GWI7,nn,0.142,0.9583,False
P0AAJ3,P11349,nn,0.1645,0.9815,False
P00399,P37180,nn,0.1601,0.9849,False
A1Z746,P26648,nn,0.1683,0.9218,False
O17554,P56079,nn,0.1813,0.969,False
P32395,Q9M1W4,nn,0.1884,0.9363,False
Q04472,Q06668,nn,0.1884,0.9689,False
P54503,P68688,nn,0.1825,0.9155,False
P26793,Q9FFG1,nn,0.1925,0.9592,False
P17023,Q68DY9,nn,0.3442,0.9785,True
